::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:49:49 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:49:49 +0000] "GET /favicon.ico HTTP/1.1" 404 1523 "http://localhost:3000/api/game/2015/12/14/past" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:50:54 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:51:07 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:51:13 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:51:53 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
